org_name_fi,org_name_en,org_name_sv,org_code,unit_main_code,unit_sub_code,unit_name,org_isni,org_csc
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,,,http://isni.org/isni/0000000108389418,2
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,A800,"School services, ARTS",,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,A801,"Department of Film, Television and Scenography",,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,A802,Department of Media,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,A803,Department of Design,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,A805,Department of Art,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,A850,Aalto Future Media Center,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,A899,School Common ARTS,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,E700,"School Services, BIZ",,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,E701,Department of Accounting,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,E702,Department of Marketing,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,E703,Department of Economics,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,E704,Department of Information and Service Economy,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,E706,Department of Management Studies,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,E707,Department of Finance,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,E710,Center for Markets in Transition (CEMAT),,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,E720,Center for Knowledge and Innovation Research (CKIR),,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,E790,"School Common, BIZ",,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T100,"School services, CHEM",,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T101,Department of Biotechnology and Chemical Technology,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T102,Department of Chemistry,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T103,Department of Materials Science and Engineering,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T104,Department of Forest Products Technology,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T105,Department of Chemistry and Materials Science,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T106,Department of Chemical and Metallurgical Engineering,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T107,Department of Bioproducts and Biosystems,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T199,"Shool common, CHEM",,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T200,"School cervices, ENG",,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T201,Department of Architecture,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T210,Design Factory,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T211,"School common, ENG",,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T212,Department of Mechanical Engineering,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T213,Department of Built Environment,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T214,Department of Civil Engineering,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T300,School services SCI,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T302,Department of Mathematics and Systems Analysis,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T304,Department of Applied Physics,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T307,Department of Industrial Engineering and Management,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T310,EIT Digital Helsinki,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T313,Department of Computer Science,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T314,Department of Neuroscience and Biomedical Engineering,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T320,"School common, SCI",,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T400,School services ELEC,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T403,Deptartment of  Micro & Nanoscience,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T404,Department of Radio Science & Engineering,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T405,Department of Signal Processing & Acoustics,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T407,Department of  Communications & Networking,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T408,Metsähovi Radio Observatory,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T409,Aalto Nanofab,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T410,Department of Electrical Engineering & Automation,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T411,Department of Electronics & Nanoengineering,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,T499,"School common, ELEC",,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U100,University level,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U900,"Leadership and LS Support Serv, Joint Units",,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U901,Research and Innovation Serv,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U902,Learning Services,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U905,Finance Services,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U906,HR Services,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U908,Communications Services,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U909,IT Services,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U912,Campus Services,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U915,Secretarial Services,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U917,Fundraising,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U918,Endowment,,
Aalto yliopisto,Aalto University,Aalto universitetet,10076,,U920,Aalto Common Items,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,,,http://isni.org/isni/0000000110165683,3556
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,Liiktal,Liiketalouden koulutus,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,Kemtek,Kemiantekniikan koulutus,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,Tiettek,Tietotekniikan koulutus,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,Sahtek,Sähkö- ja automaatiotekniikan koulutus,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,Terva,Terveysalan koulutus,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,Sosia,Sosiaalialan koulutus,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,Musa,Musiikin koulutus,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,Huma,Humanistisen ja kasvatusalan koulutus,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,YAMK,Ylemmät AMK-tutkinnot,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,Korkpal,Korkeakoulupalvelut,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,TKIpal,TKI-palvelut,,
Centria-ammattikorkeakoulu,Centria University of Applied Sciences,,02536,,Tuotal,Tuotantotalouden koulutus,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,,,http://isni.org/isni/0000000088808274,367
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,11,11 Yleinen ryhmä,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,12,"12 Communication, Communities and Languages",,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,13,13 Opiskelijoiden ohjaus ja kasvu,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,14,14 Pedagogical and community development,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,21,21 Yleinen ryhmä,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,22,22 Aikuis- ja työikäisen väestön kanssa tehtävä työ,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,23,Alusta DIGI-USER,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,24,24 Hoitotyön ja terveyden edistäminen,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,26,"26 Lapsi-, nuoriso- ja perhetyö",,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,31,31 Yleinen ryhmä,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,32,32 Diakonia ja kristillinen kasvatus,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,34,34 Tulkkaus ja moninaisuustyö,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,41,41 Yleinen ryhmä,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,42,42 TKI-opinnot ja -toiminta,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,43,"43 Ylemmät tutkinnot, työkäytännöt ja johtamistoiminta",,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,51,51 Yleinen ryhmä,,
Diakonia-ammattikorkeakoulu,Diaconia University of Applied Sciences,,02623,,61,61 Rehtoraatti,,
